Test File           2024-12-08
D3486865338678941   T   0         2024-12-08 23:19:35 
D3486865338678941   T   1         2024-12-08 23:19:35 
D3486865338678941   T   2         2024-12-08 23:19:35 
D3486865338678941   T   3         2024-12-08 23:19:35 
D3486865338678941   T   4         2024-12-08 23:19:35 
D3486865338678941   T   5         2024-12-08 23:19:35 
D3486865338678941   T   6         2024-12-08 23:19:35 
D3486865338678941   T   7         2024-12-08 23:19:35 
D3486865338678941   T   8         2024-12-08 23:19:35 
D3486865338678941   T   9         2024-12-08 23:19:35 
D0494916816797353   T   0         2024-12-08 23:19:35 
D0494916816797353   T   1         2024-12-08 23:19:35 
D0494916816797353   T   2         2024-12-08 23:19:35 
D0494916816797353   T   3         2024-12-08 23:19:35 
D0494916816797353   T   4         2024-12-08 23:19:35 
D0494916816797353   T   5         2024-12-08 23:19:35 
D0494916816797353   T   6         2024-12-08 23:19:35 
D0494916816797353   T   7         2024-12-08 23:19:35 
D0494916816797353   T   8         2024-12-08 23:19:35 
D0494916816797353   T   9         2024-12-08 23:19:35 
D2409292521908274   T   0         2024-12-08 23:19:35 
D2409292521908274   T   1         2024-12-08 23:19:35 
D2409292521908274   T   2         2024-12-08 23:19:35 
D2409292521908274   T   3         2024-12-08 23:19:35 
D2409292521908274   T   4         2024-12-08 23:19:35 
D2409292521908274   T   5         2024-12-08 23:19:35 
D2409292521908274   T   6         2024-12-08 23:19:35 
D2409292521908274   T   7         2024-12-08 23:19:35 
D2409292521908274   T   8         2024-12-08 23:19:35 
D2409292521908274   T   9         2024-12-08 23:19:35 
D3587433773308572   T   0         2024-12-08 23:19:35 
D3587433773308572   T   1         2024-12-08 23:19:35 
D3587433773308572   T   2         2024-12-08 23:19:35 
D3587433773308572   T   3         2024-12-08 23:19:35 
D3587433773308572   T   4         2024-12-08 23:19:35 
D3587433773308572   T   5         2024-12-08 23:19:35 
D3587433773308572   T   6         2024-12-08 23:19:35 
D3587433773308572   T   7         2024-12-08 23:19:35 
D3587433773308572   T   8         2024-12-08 23:19:35 
D3587433773308572   T   9         2024-12-08 23:19:35 
D4871410407465767   T   0         2024-12-08 23:19:35 
D4871410407465767   T   1         2024-12-08 23:19:35 
D4871410407465767   T   2         2024-12-08 23:19:35 
D4871410407465767   T   3         2024-12-08 23:19:35 
D4871410407465767   T   4         2024-12-08 23:19:35 
D4871410407465767   T   5         2024-12-08 23:19:35 
D4871410407465767   T   6         2024-12-08 23:19:35 
D4871410407465767   T   7         2024-12-08 23:19:35 
D4871410407465767   T   8         2024-12-08 23:19:35 
D4871410407465767   T   9         2024-12-08 23:19:35 
D4706699441620665   T   0         2024-12-08 23:19:35 
D4706699441620665   T   1         2024-12-08 23:19:35 
D4706699441620665   T   2         2024-12-08 23:19:35 
D4706699441620665   T   3         2024-12-08 23:19:35 
D4706699441620665   T   4         2024-12-08 23:19:35 
D4706699441620665   T   5         2024-12-08 23:19:35 
D4706699441620665   T   6         2024-12-08 23:19:35 
D4706699441620665   T   7         2024-12-08 23:19:35 
D4706699441620665   T   8         2024-12-08 23:19:35 
D4706699441620665   T   9         2024-12-08 23:19:35 
D9697751642397225   T   0         2024-12-08 23:19:35 
D9697751642397225   T   1         2024-12-08 23:19:35 
D9697751642397225   T   2         2024-12-08 23:19:35 
